MEMBER,,TYPE,TEXT,規格書
HBP2CVT6,已下載,RPG,BP2000 - Copy RPG contains YM<->MY flip routines,
HBP2DIM1,已下載,RPG,BP2000 - Copy RPG contains DIM area definitions,
HBP2DIM2,已下載,RPG,BP2000 - Copy RPG contains DIM check date routine,
IMA001,已下載,RPG,送貨確認作業處理,
IMA002,已下載,RPG,收貨確認作業處理                            A1087,
IMA003,已下載,RPG,良品壞品轉換處理                            A1087,
IMA004,已下載,RPG,報廢處理                                    A1087,
IMA005,已下載,RPG,調整處理                                    A1087,
IMA006,已下載,RPG,公司內調撥處理                              A1118,
IMA008,已下載,RPG,送貨分車資料輸入                            A1087,
IMA0081,已下載,RPG,送貨單明細查詢                              A1139,
IMA0082,已下載,RPG,送貨分車資料輸入－分車指派                  A1087,
IMA0083,已下載,RPG,送貨分車資料輸入－指派取消                  A1087,
IMA009,已下載,RPG,月結處理 (BATCH),
IMA009S,已下載,RPG,原月結處理－未有 chkactpgm(BATCH),
IMA009X,已下載,RPG,反月結處理 (BATCH),
IMA0091,已下載,RPG,月結處理 (BATCH),
IMA010,已下載,RPG,禮盒組拆作業處理                            A1087,
IMA011,已下載,RPG,普銷領／繳貨處理,
IMA012,已下載,RPG,普銷領／繳貨處理,
IMA013,已下載,RPG,單位成本調整維護,
IMA014,已下載,RPG,康齡成本資料異動維護,
IMI021,已下載,RPG,產品存貨狀況                                A1092,
IMI0211,已下載,RPG,產品存貨狀況－物流點數量                    A1092,
IMI0212,已下載,RPG,產品存貨狀況－物流點庫存金額                A1092,
IMI022,已下載,RPG,產品存貨狀況                                A1092,
IMI023,已下載,RPG,物流點進出明細查詢                          A1139,
IMI024,已下載,RPG,異動單別查詢                                A1139,
IMI025,已下載,RPG,產品異動查詢                                A1139,
IMI026,已下載,RPG,產品保留量查詢,
IMI027,已下載,RPG,單位成本異動查詢,
IMI028,已下載,RPG,產品存貨狀況－年份查詢 subpgm,
IMI029,已下載,RPG,產品庫存保留量出貨量,
IMI029T,已下載,RPG,產品庫存保留量出貨量,
IMR041,已下載,RPG,送貨揀料彙總表 (SCREEN CHECK)               A1139,
IMR0411,已下載,RPG,送貨揀料彙總表 (PRINT REPORTS)              A1139,
IMR0412,已下載,RPG,送貨揀料彙總表 (PRINT REPORTS)              A1139,
IMR042,已下載,RPG,分車準備明細表 (SCREEN CHECK)               A1139,
IMR0421,已下載,RPG,分車準備明細表 (PRINT REPORTS)              A1139,
IMR043,已下載,RPG,分車送貨明細表 (SCREEN CHECK)               A1139,
IMR0431,已下載,RPG,分車送貨明細表 (PRINT REPORTS)              A1139,
IMR0432,已下載,RPG,分車送貨明細表 (PRINT REPORTS)              A1139,
IMR044,已下載,RPG,送貨單列印 (SCREEN CHECK)       套表        A1118,
IMR0441,已下載,RPG,送貨單列印 (PRINT REPORTS)      套表        A1118,
IMR045,已下載,RPG,電子統一發列印 (SCREEN CHECK)   套表  @,
IMR0451,已下載,RPG,電子統一發票列印 (PRINT REPORTS) 套表 @,
IMR046,已下載,RPG,客戶送貨明細表 (SCREEN CHECK)               A1139,
IMR0461,已下載,RPG,客戶送貨明細表 (PRINT REPORTS)              A1139,
IMR0462,已下載,RPG,客戶送貨明細表 (PRINT REPORTS)              A1139,
IMR047,已下載,RPG,產品送貨明細表 (SCREEN CHECK)               A1139,
IMR0471,已下載,RPG,產品送貨明細表 (PRINT REPORTS)              A1139,
IMR048,已下載,RPG,進銷存彙總表 (SCREEN CHECK)     920826      A1139,
IMR0481,已下載,RPG,進銷存彙總表 (PRINT REPORTS)    920826      A1139,
IMR049,已下載,RPG,異動明細表 (SCREEN CHECK)                   A1139,
IMR0491,已下載,RPG,異動明細表 (PRINT REPORTS)    920826        A1139,
IMR04911,已下載,RPG,異動明細表 (WRITE WF),
IMR04912,已下載,RPG,異動明細表 (PRINT REPORTS),
IMR0492,已下載,RPG,異動明細表 (PRINT REPORTS)    920826        A1139,
IMR04921,已下載,RPG,異動明細表 (WRITE WF),
IMR04922,已下載,RPG,異動明細表 (PRINT REPORTS),
IMR050,已下載,RPG,存貨週轉率報表 (SCREEN CHECK),
IMR0501,已下載,RPG,存貨週轉率報表 (PRINT REPORTS),
IMR053,已下載,RPG,專櫃產品存貨彙總表 (SCREEN CHECK)           A1139,
IMR0531,已下載,RPG,專櫃產品存貨彙總表 (PRINT REPORTS)          A1139,
IMR054,已下載,RPG,滯銷產品明細表 (SCREEN CHECK)               A1118,
IMR0541,已下載,RPG,滯銷產品明細表 (PRINT REPORTS)              A1118,
IMR055,已下載,RPG,存貨月報表 (SCREEN CHECK),
IMR0551,已下載,RPG,存貨月報表 (PRINT REPORTS),
IMR056,已下載,RPG,送貨數量差異報表 (SCREEN CHECK)             A1139,
IMR0561,已下載,RPG,送貨數量差異報表 (PRINT REPORTS)            A1139,
IMR057,已下載,RPG,物流點存貨明細表 (SCREEN CHECK)             A1139,
IMR0571,已下載,RPG,物流點存貨明細表 (PRINT REPORTS)            A1139,
IMR058,已下載,RPG,倉庫預訂送貨明細表,
IMR0581,已下載,RPG,倉庫預訂送貨明細表－依產品,
IMR0582,已下載,RPG,倉庫預訂送貨明細表－依產品 print report,
IMR0583,已下載,RPG,倉庫預訂送貨明細表－依客戶別,
IMR0584,已下載,RPG,倉庫預訂送貨明細表－依客戶別 print report,
IMR060,已下載,RPG,良壞轉換明細表    screen check,
IMR0601,已下載,RPG,良壞轉換明細表,
IMR061,已下載,RPG,緊急出貨作業,
IMR0611,已下載,RPG,緊急出貨作業－ select,
IMR0612,已下載,RPG,訂單批次處理 (BATCH)*upd by stephanie 810503 A118,
IMR062,已下載,RPG,產品報廢明細表    screen check,
IMR0621,已下載,RPG,產品報廢明細表,
IMR063,已下載,RPG,產品保留量彙總表 (SCREEN CHECK),
IMR063.1,已下載,RPG,產品保留量彙總表 (SCREEN CHECK),
IMR0631,已下載,RPG,產品保留量彙總表 (WRITE WORKFILE),
IMR0632,已下載,RPG,產品保留量彙總表 (REPORT),
IMR064,已下載,RPG,內陸運輸保險,
IMR0641,已下載,RPG,內陸運輸保險表,
IMR0642,已下載,RPG,內陸運輸保險表,
IMR065,已下載,RPG,產品與庫存量比較差異表 (SCREEN CHECK),
IMR0651,已下載,RPG,產品與庫存量比較差異表 (PRINT REPORTS),
IMR066,已下載,RPG,產品調撥明細／彙總表    screen check,
IMR0661,已下載,RPG,產品調撥明細表依（出貨物流點）,
IMR0662,已下載,RPG,產品調撥明細表依（收貨物流點）,
IMR0663,已下載,RPG,產品調撥彙總表依（出貨物流點）,
IMR0664,已下載,RPG,產品調撥彙總表依（出貨物流點）,
IMR067,已下載,RPG,車輛／車次送貨明細表 (SCREEN CHECK),
IMR0671,已下載,RPG,車輛／車次送貨明細表－依送貨日期 (print report),
IMR0672,已下載,RPG,車輛／車次送貨明細表－依車號 (print report),
IMR070,已下載,RPG,送貨揀料彙總表 (SCREEN CHECK)               A1139,
IMR0701,已下載,RPG,送貨揀料彙總表 (PRINT REPORTS)              A1139,
IMR071,已下載,RPG,產品送貨數量差異報表,
IMR0711,已下載,RPG,產品送貨數量差異報表,
IMR072,已下載,RPG,庫存與異動保留量差異表,
IMR0721,已下載,RPG,庫存與異動保留量差異表 (REPORT),
